datetime,demand_mw,temperature,humidity,wind_speed,hour,day_of_week
2021-01-01 00:00:00,139236.98630136985,28.0,65.0,12.0,0,4
2021-01-01 01:00:00,140074.2307587027,28.00358629267605,65.00713187829119,12.0,1,4
2021-01-01 02:00:00,142528.90730454592,28.007172583507096,65.01426375295483,12.0,2,4
2021-01-01 03:00:00,146433.73378884507,28.010758870648136,65.02139562036342,12.0,3,4
2021-01-01 04:00:00,151522.60273972602,28.014345152254165,65.0285274768894,12.0,4,4
2021-01-01 05:00:00,157448.71614793985,28.017931426480192,65.03565931890525,12.0,5,4
2021-01-01 06:00:00,163808.2191780822,28.021517691481222,65.04279114278344,12.0,6,4
2021-01-01 07:00:00,170167.72220822453,28.02510394541226,65.04992294489648,12.0,7,4
2021-01-01 08:00:00,176093.83561643836,28.028690186428324,65.05705472161688,12.0,8,4
2021-01-01 09:00:00,181182.7045673193,28.032276412684443,65.06418646931712,12.0,9,4
2021-01-01 10:00:00,185087.53105161845,28.03586262233564,65.07131818436977,12.0,10,4
2021-01-01 11:00:00,187542.20759746167,28.039448813536957,65.07844986314734,12.0,11,4
2021-01-01 12:00:00,188379.4520547945,28.04303498444344,65.08558150202242,12.0,12,4
2021-01-01 13:00:00,187542.20759746167,28.046621133210156,65.0927130973676,12.0,13,4
2021-01-01 14:00:00,185087.53105161845,28.050207257992167,65.09984464555545,12.0,14,4
2021-01-01 15:00:00,181182.7045673193,28.053793356944556,65.10697614295863,12.0,15,4
2021-01-01 16:00:00,176093.83561643836,28.057379428222426,65.1141075859498,12.0,16,4
2021-01-01 17:00:00,170167.72220822453,28.06096546998088,65.12123897090163,12.0,17,4
2021-01-01 18:00:00,163808.2191780822,28.064551480375044,65.12837029418684,12.0,18,4
2021-01-01 19:00:00,157448.71614793985,28.068137457560066,65.13550155217818,12.0,19,4
2021-01-01 20:00:00,151522.60273972602,28.0717233996911,65.14263274124842,12.0,20,4
2021-01-01 21:00:00,146433.73378884507,28.07530930492332,65.14976385777038,12.0,21,4
2021-01-01 22:00:00,142528.90730454592,28.078895171411926,65.15689489811692,12.0,22,4
2021-01-01 23:00:00,140074.2307587027,28.082480997312132,65.16402585866089,12.0,23,4
2021-01-02 00:00:00,139224.92257709042,28.086066780779174,65.17115673577527,12.0,0,5
2021-01-02 01:00:00,140049.95822963674,28.08965251996831,65.17828752583301,12.0,1,5
2021-01-02 02:00:00,142491.8604791604,28.093238213034823,65.18541822520713,12.0,2,5
2021-01-02 03:00:00,146382.98473899663,28.09682385813402,65.19254883027068,12.0,3,5
2021-01-02 04:00:00,151456.96188702906,28.100409453421225,65.19967933739679,12.0,4,5
2021-01-02 05:00:00,157366.8664347185,28.103994997051792,65.20680974295861,12.0,5,5
2021-01-02 06:00:00,163708.87086048676,28.10758048718111,65.21394004332934,12.0,6,5
